spotify_artist_name,spotify_artist_id,spotify_artist_followers,spotify_artist_genres
Sonu Nigam,1dVygo6tRFXC8CSWURQJq2,21791318,"kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop"
Lata Mangeshkar,61JrslREXq98hurYL2hYoc,22472022,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
La Arrolladora Banda El Limón De Rene Camacho,5bSfBBCxY8QAk4Pifveisz,9482886,"banda,norteño,grupera"
KK,4fEkbug6kZzzJ8eYX6Kbbp,21185570,"bollywood,hindi pop,desi"
Anahí,0TeVa4xdLB8vdzjsvKH6Ri,778683,latin pop
Shankar Mahadevan,1SJOL9HJ08YOn92lFcYf8a,12530177,"marathi pop,bollywood,devotional,bhajan,desi,tamil dance,hindi pop,tamil pop"
Kumar Sanu,4K6blSRoklNdpw4mzLxwfn,20100323,"bollywood,hindi pop"
Iron Maiden,6mdiAmATAx73kdxrNrnlao,10150330,"heavy metal,metal,hard rock,rock"
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,9290398,"metal,heavy metal,rock,stoner rock,doom metal,hard rock"
thasup,19i93sA0D7yS9dYoVNBqAA,2415075,italian trap
Limp Bizkit,165ZgPlLkK7bf5bDoFc6Sb,7647378,"nu metal,rap metal,alternative metal,rap rock"
John Lennon,4x1nvY2FN8jxqAFA0DA02H,6525728,christmas
Disturbed,3TOqt5oJwL9BE2NG9MEwDa,7499545,"metal,nu metal,alternative metal,rap metal,hard rock,rock"
The Doors,22WZ7M8sxp5THdruNY3gXt,8697116,"psychedelic rock,classic rock,acid rock"
R.E.M.,4KWTAlx2RvbpseOGMEmROg,5226417,"jangle pop,alternative rock,rock"
Scorpions,27T030eWyCQRmDyuvr1kxY,8333068,"hard rock,glam metal,rock"
Norah Jones,2Kx7MNY7cI1ENniW7vT30N,3331625,
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,5898083,"alternative rock,rock"
Skillet,49bzE5vRBRIota4qeHtQM8,5705288,"christian rock,christian alternative rock,christian"
"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,4913342,disco
Weezer,3jOstUTkEu2JkjvRdBA5Gu,4423176,alternative rock
Sabaton,3o2dn2O0FCVsWDFSh8qxgG,2382533,"power metal,metal,heavy metal,symphonic metal"
Train,3FUY2gzHeIiaesXtOAdB7A,4493151,soft pop
Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,5416101,soft rock
Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,3968586,"new wave,synthpop"
TOTO,0PFtn5NtBbbUNbU9EAmIWF,3559435,"yacht rock,soft rock"
Shaggy,5EvFsr3kj42KNv97ZEnqij,2426229,reggae
Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,8728461,"brazilian rock,mpb,brazilian pop"
La Oreja de Van Gogh,4U7lXyKdSf1JbM1aXvsodC,4490224,latin pop
London Symphony Orchestra,5yxyJsFanEAuwSM5kOuZKc,340235,"classical,orchestra,opera"
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,5854087,"motown,classic soul,soul,northern soul,quiet storm"
George Michael,19ra5tSw0tWufvUp8GotLo,5501537,
Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,6950427,
The Game,0NbfKEOTQCcwd6o7wSDOHI,5126049,"west coast hip hop,gangster rap,hip hop"
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,4988871,baroque pop
Journey,0rvjqX7ttXeg3mTy8Xscbt,6319784,"aor,classic rock"
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,2897484,"country,classic country"
Gabry Ponte,5ENS85nZShljwNgg4wFD7D,687821,"slap house,italo dance"
SCH,2kXKa3aAFngGz2P4GjG5w2,2666179,"french rap,pop urbaine"
Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,5646313,"classical,classical piano,chamber music"
Jay Chou,2elBjNSdBE2Y3f0j1mjrql,7155007,"mandopop,c-pop,taiwanese pop,gufeng,cantopop,chinese r&b"
Diddy,59wfkuBoNyhDMQGCljbUbA,1939514,"hip hop,east coast hip hop"
Baby Rasta,0GgyFUpOyzWDRDqx8FCTDN,2424994,reggaeton
Shania Twain,5e4Dhzv426EvQe3aDb64jL,3321117,country
Hillsong Worship,3SgHzT552wy2W8pNLaLk24,6935650,"worship,christian,pop worship,ccm,gospel"
George Strait,5vngPClqofybhPERIqQMYd,5015150,"country,classic country,traditional country,honky tonk"
Berliner Philharmoniker,6uRJnvQ3f8whVnmeoecv5Z,252789,"classical,orchestra,opera,requiem"
Rahat Fateh Ali Khan,3OLGltG8UPIea8sA4w0yg0,27439219,"sufi,qawwali,bollywood,hindi pop,desi,ghazal"
Kishore Kumar,0GF4shudTAFv8ak9eWdd4Y,17363532,"ghazal,bangla pop,hindi pop,bollywood"
Shekhar Ravjiani,4xd7mLI7urqrxELaXhAvzw,1735495,"bollywood,hindi pop,desi"
Los Tucanes De Tijuana,014WIDx7H4BRCHB1faiisK,4089201,"corrido,norteño,cumbia norteña,música mexicana,banda"
Intocable,108moq3rq6bm1M4Ypz0J02,4396273,"tejano,norteño,grupera,banda,cumbia norteña"
Los Temerarios,3YbOSxo85kla7RID8ugnW3,6903354,grupera
K. S. Chithra,2IUtwMti1OiT3lkW6RubgH,9680061,"malayalam pop,telugu pop,kannada pop,mollywood,tamil pop,tollywood,devotional,sandalwood"
TKKG,61qDotnjM0jnY5lkfOP7ve,286905,
