genre,tracks,views_sum,views_mean,streams_sum,streams_mean,freq_z,views_z,score
flamenco,70,2966474391.0,42378205.58571429,2349548057.0,36146893.18461538,-0.07695705756310434,-0.21354015861295061,-0.13159029798304286
flamenco pop,61,2784185075.0,45642378.27868853,2297418282.0,37662594.78688525,-0.16981085341899774,-0.22802986032899358,-0.1930984561829961
folk,80,1606639913.0,22951998.757142857,10237818257.0,127972728.2125,0.026213826721221654,-0.32162985032813035,-0.11292364409851915
folk metal,20,1000116172.0,50005808.6,848649829.0,47147212.722222224,-0.5928114789847343,-0.36984083868242584,-0.5036232228638109
folk pop,50,9114824094.0,182296481.88,11356682243.0,236597546.72916666,-0.28329882613175633,0.27517610406912174,-0.059908854051405086
folk punk,10,318467097.0,31846709.7,581697503.0,58169750.3,-0.6959823632690603,-0.4240233436613056,-0.5871987554259585
folk rock,90,4475885180.0,55948564.75,11437008413.0,127077871.25555556,0.12938471100554763,-0.09356103652558126,0.040206411993096075
folklore argentino,19,989529728.0,52080512.0,732843941.0,38570733.7368421,-0.6031285674131669,-0.3706823274715636,-0.5101500714365256
forró,136,12139641062.0,94840945.796875,8537446120.0,63240341.62962963,0.6039707787134472,0.5156109061391754,0.5686268296837385
forró tradicional,28,2290379084.0,81799253.0,820736716.0,30397656.14814815,-0.5102747715572735,-0.2672812090760863,-0.41307734656479866
free jazz,10,32084078.0,3208407.8,413724337.0,41372433.7,-0.6959823632690603,-0.4467871820085287,-0.5963042907648477
french house,26,2893801249.0,111300048.03846154,4552028219.0,197914270.39130434,-0.5309089484141387,-0.2193167568988734,-0.4062720718080326
french indie pop,9,541493851.0,60165983.44444445,899442899.0,99938099.8888889,-0.7062994516974929,-0.40629552937647234,-0.5862978827690847
french jazz,10,46123932.0,4612393.2,363372107.0,36337210.7,-0.6959823632690603,-0.4456711906763938,-0.5958578942319936
french pop,56,9089842645.0,162318618.6607143,4731437424.0,84489954.0,-0.22139629556116072,0.2731903939222663,-0.02356161976778992
french r&b,125,10107501187.0,80860009.496,6442336614.0,51954327.53225806,0.4904828060006886,0.35408141401015325,0.4359222492044744
french rap,224,12217814561.0,54788406.10313901,10688609352.0,47930983.6412556,1.5118745604155157,0.5218247134399245,1.1158546216252792
funk,123,8781763051.0,72576554.14049587,7071014190.0,58925118.25,0.4698486291438234,0.2487019514846436,0.38138995808015147
funk carioca,35,3391941670.0,96912619.14285715,2828751290.0,80821465.42857143,-0.4380551525582453,-0.1797208756295945,-0.334721441786785
funk consciente,71,3892166661.0,56408212.47826087,2548703967.0,36410056.67142857,-0.06663996913467174,-0.13995929733446133,-0.09596770041458758
funk melody,10,823953858.0,82395385.8,870328657.0,87032865.7,-0.6959823632690603,-0.38384352100895286,-0.5711268263650173
funk pop,32,3285999565.0,102687486.40625,3026534169.0,94579192.78125,-0.4690064178435431,-0.1881419369090153,-0.356660625469732
funk rock,30,5079136495.0,169304549.83333334,9276597824.0,331307065.14285713,-0.48964059470040827,-0.04561016476872706,-0.3120284227277358
funky house,19,241897830.0,12731464.736842105,998685780.0,58746222.35294118,-0.6031285674131669,-0.4301096347495121,-0.533920994347705
future bass,24,1117612810.0,46567200.416666664,2424905880.0,110222994.54545455,-0.5515431252710039,-0.3605013377472318,-0.47512641026149505
future house,16,100464737.0,6279046.0625,605278215.0,37829888.4375,-0.6340798326984647,-0.44135178198729846,-0.5569886124139982
g-funk,133,8457176107.0,63587790.278195485,13896376375.0,106079208.96946564,0.5730195134281494,0.22290138290122788,0.43297226121738075
gangster rap,174,9543215746.0,54846067.505747125,20630204386.0,122072215.30177514,0.996020138993886,0.30922783782582136,0.7213032185266601
garage rock,40,4079348470.0,101983711.75,12921577021.0,323039425.525,-0.3864697104160823,-0.1250807041256343,-0.2819141078999031
german hip hop,152,3412716859.0,22452084.59868421,7371154180.0,48815590.59602649,0.7690441935683688,-0.17806951010631603,0.3901987120984948
german indie,10,263585987.0,26358598.7,644423267.0,64442326.7,-0.6959823632690603,-0.4283856997839505,-0.5889436978750164
german pop,77,1144311576.0,14861189.2987013,2723278120.0,35367248.31168831,-0.004737438564076143,-0.3583791225564829,-0.14619411216103886
ghazal,101,8320409019.0,86670927.28125,1438849123.0,14682133.908163264,0.24287268371830623,0.2120301242165346,0.23053565991759759
glam metal,129,19182212402.0,148699320.94573644,21444031197.0,175770747.51639345,0.531751159714419,1.075406511661953,0.7492133004934325
